Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
East Asia & Pacific (developing only),3500000000000,3780000000000,4180000000000,4630000000000,5120000000000,5620000000000,6110000000000,6530000000000,6570000000000,6950000000000,7460000000000,7930000000000,8530000000000,9250000000000,10100000000000,11000000000000,12100000000000,13600000000000,14700000000000,15700000000000,17300000000000,18700000000000,20100000000000
East Asia & Pacific (all income levels),8850000000000,9350000000000,9860000000000,10400000000000,11100000000000,11800000000000,12500000000000,13100000000000,13100000000000,13600000000000,14400000000000,14900000000000,15700000000000,16600000000000,17700000000000,18800000000000,20200000000000,21900000000000,23100000000000,23900000000000,25900000000000,27400000000000,29000000000000
Europe & Central Asia (developing only),2150000000000,2010000000000,1890000000000,1830000000000,1660000000000,1670000000000,1720000000000,1770000000000,1790000000000,1770000000000,1870000000000,1910000000000,2020000000000,2150000000000,2350000000000,2520000000000,2730000000000,2930000000000,3040000000000,2910000000000,3090000000000,3280000000000,3360000000000
Europe & Central Asia (all income levels),17100000000000,17000000000000,16600000000000,16300000000000,16200000000000,16500000000000,16800000000000,17200000000000,17600000000000,18100000000000,18900000000000,19400000000000,19800000000000,20300000000000,21100000000000,21700000000000,22700000000000,23700000000000,24100000000000,23000000000000,23700000000000,24300000000000,24400000000000
Ecuador,76349832716,79626265458,81309812089,82914232001,86444927674,88392141832,89922870551,93814610781,96879092627,92287618677,93295216341,97041606944,101000000000,104000000000,112000000000,118000000000,123000000000,126000000000,134000000000,135000000000,140000000000,151000000000,159000000000
Egypt,339000000000,343000000000,358000000000,368000000000,383000000000,401000000000,421000000000,444000000000,462000000000,490000000000,516000000000,535000000000,547000000000,565000000000,588000000000,614000000000,656000000000,703000000000,753000000000,788000000000,829000000000,844000000000,862000000000
Euro area,8780000000000,9020000000000,9150000000000,9090000000000,9310000000000,9540000000000,9700000000000,9970000000000,10300000000000,10600000000000,11000000000000,11200000000000,11300000000000,11400000000000,11700000000000,11900000000000,12300000000000,12600000000000,12700000000000,12100000000000,12400000000000,12600000000000,12400000000000
Eritrea,2532376753,2998545913,3464715073,3930884233,4765073332,4901277178,5355078585,5778594852,5881025219,5881818023,5697012081,6195810345,6382021004,6212545456,6302735113,6464995852,6402336054,6493685977,5858406746,6085507996,6219035590,6758835465,7233110307
Spain,937000000000,961000000000,970000000000,960000000000,983000000000,1010000000000,1040000000000,1080000000000,1120000000000,1170000000000,1230000000000,1280000000000,1320000000000,1360000000000,1410000000000,1460000000000,1520000000000,1580000000000,1590000000000,1540000000000,1540000000000,1530000000000,1500000000000
Estonia,10605428070,11490863569,12376299068,13261734567,14147170066,15032605565,15918041064,17786078122,18997397648,18945818881,20782856579,22062687295,23413373691,25164707277,26794908910,29332688441,32387037138,34945656575,33083871489,28208115023,28906512367,31295286572,32750693494
Ethiopia,31350152722,29112541933,26587762521,30082147999,31041757865,32943845110,37037504560,38198225463,36877277663,38780936515,41136187145,44551028054,45225853917,44248360529,50254014896,56193419301,62281822915,69416932552,76905993375,83675684350,94177433186,105000000000,114000000000
European Union,11900000000000,12000000000000,12100000000000,12100000000000,12400000000000,12800000000000,13100000000000,13400000000000,13800000000000,14200000000000,14800000000000,15100000000000,15300000000000,15500000000000,16000000000000,16300000000000,16900000000000,17400000000000,17600000000000,16800000000000,17100000000000,17500000000000,17400000000000
Fragile & conflict affected situations,733000000000,556000000000,593000000000,636000000000,658000000000,684000000000,738000000000,812000000000,930000000000,1010000000000,1020000000000,1050000000000,1030000000000,964000000000,1110000000000,1180000000000,1250000000000,1310000000000,1380000000000,1440000000000,1510000000000,1410000000000,1570000000000
Finland,143000000000,134000000000,130000000000,129000000000,134000000000,139000000000,145000000000,154000000000,162000000000,169000000000,179000000000,183000000000,186000000000,190000000000,198000000000,203000000000,211000000000,222000000000,224000000000,205000000000,211000000000,217000000000,214000000000
Fiji,4146869696,4034904163,4281033346,4372220689,4595203939,4710084009,4936168042,4827572340,4890330893,5320679947,5230228428,5334832936,5505547622,5560603041,5855315058,5896302261,6005530227,5954443967,6015941124,5932557924,6107845621,6273071487,6387893572
France,1720000000000,1740000000000,1770000000000,1760000000000,1800000000000,1840000000000,1860000000000,1900000000000,1970000000000,2040000000000,2120000000000,2160000000000,2180000000000,2200000000000,2260000000000,2300000000000,2350000000000,2410000000000,2410000000000,2340000000000,2390000000000,2440000000000,2440000000000
"Micronesia, Fed. Sts.",266167850,285937044,297397447,321607547,319888487,342549427,331890823,311759193,320973930,325415409,340264796,346209880,348286791,354646025,343186482,350601220,350028343,342818890,334043946,337257300,345791862,352882556,354412949
Gabon,18326036389,19446214983,18845300368,19589039118,20316331381,21326836730,22099941639,23368120633,24180824272,22020840148,21606199107,22066772755,22011819171,22506497389,22661689380,23545655136,22689855940,24161660694,23429516058,23149331956,24871978645,26445503309,28165145005
