"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Canada","CAN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","866052991996.439","847690548178.072","854932959024.774","877224234492.895","917173107725.545","942289857190.35","958116645241.528","998868631453.967","1040203668093.72","1092185303341.7","1148139321402.86","1167524202598.19","1200236662496.05","1223345075894.89","1261743269355.21","1301653850781.04","1335780339449.03","1362607025694.8","1378623427391.83","1341242504221.28","1386499360035.32","1427541164477.25","1454990853806.6","1484141714322.58","1521716772340.26","",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1351718412203.12","1219035448079.62","1191536284586.52","1210215022996.07","1259982210531.01","1332819408001.8","1391381759459.41","1426884645348.93","1457878565761.07","1485231057263.13","1543331376616.37","1589937495102.85","1639964774285.93","1709881743985.14","1808963330683.53","1894310598188.57","2020997192769.99","2148591892553.55","2229592236652.4","2147249893663.98","2187917975362.13","2258354611181.18","2274581395690.03","2309384173367.96","2369824784495.32","",
"Switzerland","CHE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312941221994.198","310075288952.708","309939671312.7","309549209266.386","313479725813.104","314987162285.178","316880495309.062","324206916480.546","333754113929.244","339238919399.826","352625622881.859","357726702281.624","358239684237.813","358417738523.452","368607398346.227","379806780896.014","395047599055.704","411403969601.882","420772588855.735","411811795496.144","423975919425.457","431626790083.383","436414272401.673","444774291591.097","","",
"Channel Islands","CHI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121479367952.185","131161259452.442","147265147903.106","157553513318.479","166546855501.833","184246751179.549","197905868459.558","210978698198.494","217795164038.566","216138059053.214","225855178776.076","233417217583.055","238475155423.772","247911017514.676","262887537118.683","277502644954.304","289726560679.421","304678843192.588","314710256686.301","311448499574.789","329368339623.539","348602266856.926","367625947894.933","383162521238.051","390419807231.104","",
"China","CHN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1721182999400.07","1880698367579.35","2149195609438.36","2448743552736.85","2768991963661.66","3073410605225.17","3378438084071.8","3690162773032.83","3979969319801.29","4283170286798.54","4644210795692.86","5029604795912.27","5486841595540.64","6036621662204.33","6644850108048.24","7399199501842.6","8338026590564.56","9521606269329.6","10437906383376.9","11401695802506","12613890833917.3","13810256092313.3","14880592037847.1","16023988452379.2","17201911847010.4","",
"Cote d'Ivoire","CIV","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39180247702.5601","39196282285.0434","39100423617.1355","39025161127.6179","39341735843.3845","42145127509.6425","45402662407.3243","47102335203.1763","49424800449.5642","50224260160.5219","49185421534.5205","49245118822.771","48423886470.2128","47765546328.9132","48353909355.3223","49186199747.042","49931784999.8861","50813099371.9298","52105195938.1182","53799372269.151","54884849166.3357","52476908219.4823","58095352507.3701","63450918312.5834","69158644010.9847","",
"Cameroon","CMR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33414647779.646","32142017714.1873","31145614133.0368","28675123284.7809","29266806488.2086","30475048823.761","31971964797.5515","33671005670.8961","35319322454.5225","36754091816.2206","38288053620.6337","40016480154.9579","41620758680.2332","43298488680.5562","44901335539.0081","45932653146.749","47413523255.0789","48957148496.5673","50369095293.9879","51342150958.969","53020345598.1617","55215701705.029","57749405977.9266","60961247834.4815","64549606512.6512","",
"Congo, Rep.","COG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12544967570.6402","12845465640.9507","13180982530.5574","13051850658.2745","12334902615.4926","12826488496.438","13376806619.6141","13293226706.6389","13790068069.6167","13433981020.5281","14451736788.5294","15001278806.2563","15688617908.716","15816207801.9869","16366079083.9546","17635392731.8501","18735135295.7855","18438703722.81","19466157004.2768","20920060528.5036","22750912218.9399","23529134761.3866","24423240906.7126","25263572638.6131","26917376633.7442","",
"Colombia","COL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258185465003.406","264064945732.088","277354482832.351","283915720748.357","300484507014.326","316117025967.048","322615932741.275","333682606687.265","335583877090.772","321475879742.457","335685091122.417","341317545585.573","349864070252.355","363572695817.874","382962107917.078","400986433731.574","427842561312.074","457366383419.6","473588276652.646","481409820261.487","500530458895.309","533512971123.156","555087935875.08","582488683372.277","609006486459.072","",
"Comoros","COM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","658530458.341536","622998796.128526","676146346.413927","696470882.844511","659720328.870314","683537086.934139","674708054.135727","701901087.237698","710904109.096025","724582783.3049","734856299.57776","821923887.585284","841031803.649804","858727970.255286","875212132.805405","900045469.815047","923875039.785607","931263609.517632","934988663.661623","953220942.395523","974191802.954097","999520790.689932","1029506414.13009","1065539138.56177","1097544314.7398","",
"Cabo Verde","CPV","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566468254.155625","574422300.316598","637250585.209635","692744350.417105","825631017.866839","942966694.964542","1049960644.19054","1166699741.81896","1312738881.38688","1460062952.18997","1668631029.77672","1705869109.12182","1795442440.84322","1870424772.78655","2061153344.96699","2203629704.00853","2379562000.35354","2740557926.44512","2922819293.77701","2885687690.0682","2928018209.54597","3044224922.25246","3077160949.10556","3109324789.99198","3194465779.29764","",
"Costa Rica","CRI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22573586958.6212","23154161550.7449","25273234162.3145","27146911009.9142","28430851705.5963","29545594004.9798","29807539949.1619","31470260088.3928","34113084645.8328","36917930926.0205","37582758107.781","37987297531.8899","39089759217.3349","41593267061.543","43364912629.0277","45917535007.7169","49948929718.575","53912547375.2105","55385233529.1106","54822675265.6621","57538766319.6766","60138221906.1552","63245914304.6615","65419849654.6563","67711083218.7143","",
"Caribbean small states","CSS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52183855441.9264","53468647455.6927","53626746439.9145","55194470582.9704","56769891372.1489","58387494309.2749","59858108683.6171","61133969598.9076","62774717043.3464","64780877620.5924","66826464864.292","68340345342.5237","71753514060.0693","77557012996.6162","82085023659.4881","85782071652.9007","94440224877.5284","97722397144.0661","99320871360.9143","95868189515.1371","96150587331.2162","96691937220.9671","98199853656.5415","99058700629.9866","","",
"Cuba","CUB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144915394740.822","129420030091.913","114432410236.464","97406949806.1209","98105289486.6007","100515933666.004","108395126465.709","111413935086.128","111587429834.428","118496034634.453","125506100920.194","129499993948.78","131350018961.032","136329977078.057","144197414879.447","160349995559.779","179697514786.155","192747394556.91","200682473379.818","203590596649.944","208453017875.532","214295881623.133","220755596246.271","226685163421.363","","",
