Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Equatorial Guinea,392399116,388387859.6,523334464.3,581075070.7,677933518.6,796478761.7,1326774299,3316577035,4105076056,5158603409,6098180083,9963199023,11902319913,13563318450,18717206781,21852095706,20800672248,23530126161,26415219877,24285637562,23969892843,25167425786,25977870573
Greece,2.14E+11,2.21E+11,2.22E+11,2.19E+11,2.23E+11,2.28E+11,2.35E+11,2.45E+11,2.55E+11,2.63E+11,2.73E+11,2.83E+11,2.92E+11,3.12E+11,3.27E+11,3.30E+11,3.49E+11,3.62E+11,3.60E+11,3.44E+11,3.26E+11,2.97E+11,2.77E+11
Grenada,720967034.4,737526937.4,735340740.9,715930209,735642676.2,754062727.9,784658139.9,820821848.2,874519241.7,962605180.3,980633825,960786776.7,993812126.6,1087866242,1080822849,1224281156,1175093104,1247368184,1259206343,1175716165,1170108616,1178831470,1165124128
Guatemala,47252664594,48981284605,51351165106,53367793139,55520511947,58267970856,59991409186,62609488234,65735910449,68264811786,70728399242,72378170481,75176772588,77079374882,79508940297,82101061106,86517781257,91972078547,94989768489,95489598008,98229550167,1.02E+11,1.05E+11
Guyana,2342372278,2482554123,2676974025,2896856335,3143764362,3300522312,3560717890,3782441955,3717816395,3828231117,3775526806,3860476132,3901049766,3861834258,3989040174,3910978202,3702019373,3961912737,4040225769,4174305678,4356759128,4593641614,4814892475
High income,3.24E+13,3.28E+13,3.31E+13,3.34E+13,3.42E+13,3.50E+13,3.60E+13,3.72E+13,3.81E+13,3.94E+13,4.11E+13,4.17E+13,4.24E+13,4.35E+13,4.52E+13,4.67E+13,4.84E+13,5.00E+13,5.05E+13,4.88E+13,5.04E+13,5.16E+13,5.24E+13
"Hong Kong SAR, China",1.54E+11,1.63E+11,1.73E+11,1.84E+11,1.95E+11,1.99E+11,2.08E+11,2.18E+11,2.05E+11,2.11E+11,2.27E+11,2.28E+11,2.32E+11,2.39E+11,2.60E+11,2.79E+11,2.98E+11,3.18E+11,3.24E+11,3.16E+11,3.38E+11,3.54E+11,3.60E+11
Honduras,15716681269,16227793056,17140492134,18208350282,17971048666,18701208083,19373563214,20341024442,20931236638,20535733620,21716158012,22307530966,23145031047,24197444416,25705502461,27260920838,29051145471,30848903777,32154387468,31372432953,32543023179,33791230596,32783550954
Heavily indebted poor countries (HIPC),5.20E+11,5.24E+11,5.22E+11,5.28E+11,5.31E+11,5.57E+11,5.86E+11,6.13E+11,6.34E+11,6.55E+11,6.75E+11,7.04E+11,7.29E+11,7.61E+11,8.03E+11,8.54E+11,9.06E+11,9.68E+11,1.03E+12,1.07E+12,1.13E+12,1.19E+12,1.25E+12
Croatia,,,,,,58565029870,62004963006,66125486768,67356664582,66726542990,69240462942,71618460424,75375904709,79565227420,82813725029,86261956780,90389755902,95044903301,96996280361,89834411596,88306205282,88057740525,86131398376
Haiti,,,,,,,,,14355351359,14742446696,14871478475,14716413969,14677930807,14731128119,14213869145,14468537130,14794512151,15289133971,15418165750,15893545989,15019751836,15849403538,16306674054
Hungary,,1.55E+11,1.50E+11,1.49E+11,1.54E+11,1.56E+11,1.56E+11,1.61E+11,1.68E+11,1.73E+11,1.81E+11,1.88E+11,1.96E+11,2.03E+11,2.13E+11,2.22E+11,2.31E+11,2.32E+11,2.34E+11,2.19E+11,2.21E+11,2.25E+11,2.21E+11
Indonesia,8.12E+11,8.85E+11,9.49E+11,1.02E+12,1.09E+12,1.19E+12,1.28E+12,1.34E+12,1.16E+12,1.17E+12,1.23E+12,1.27E+12,1.33E+12,1.39E+12,1.46E+12,1.55E+12,1.63E+12,1.74E+12,1.84E+12,1.93E+12,2.05E+12,2.17E+12,2.30E+12
