Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
East Asia & Pacific (all income levels),EAS,"Population, total",SP.POP.TOTL,1820607703,1846409698,1870507435,1893708684,1916918806,1939948993,1962640188,1984861851,2006344261,2026505631,2045719317,2064256178,2081838397,2098591746,2114733723,2130532518,2146003677,2160752292,2175660864,2190177041,2204603325,2219079073,2233889396
Europe & Central Asia (developing only),ECA,"Population, total",SP.POP.TOTL,237277995,238912959,240445513,241843532,242652404,243052945,243653269,244288869,244814942,245286780,246051987,246439450,246819911,247668350,248660723,249730397,250849576,251718457,252877346,254685459,256799097,258778040,260544871
Europe & Central Asia (all income levels),ECS,"Population, total",SP.POP.TOTL,842907397,846199873,849633122,852664422,854549337,856102195,857333424,858726155,859806214,860985079,862073997,863554388,865246750,867562844,870213016,872968147,875755753,878819656,882358214,886063249,889630390,893094109,894962840
Ecuador,ECU,"Population, total",SP.POP.TOTL,10218085,10460988,10705670,10951200,11196476,11440576,11683480,11924991,12163887,12398691,12628596,12852753,13072056,13289600,13509645,13735232,13967490,14205479,14447600,14691310,14934692,15177280,15419493
Egypt,EGY,"Population, total",SP.POP.TOTL,56397273,57689828,58922018,60108373,61272847,62434527,63595629,64754566,65922626,67112877,68334905,69599945,70908710,72247626,73596068,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902
Euro area,EMU,"Population, total",SP.POP.TOTL,311482918,312611072,314036613,315275812,316145953,316909668,317684325,318394013,319037521,319900773,321109088,322544302,324209956,325980803,327788514,329490945,331033155,332759025,334378776,335433365,336199356,336958644,336189482
Eritrea,ERI,"Population, total",SP.POP.TOTL,3139083,3160644,3160617,3150811,3147871,3164095,3202598,3260612,3337227,3429656,3535156,3655006,3788532,3928408,4064958,4191273,4304440,4406299,4500638,4593549,4689664,4789568,4892233
Spain,ESP,"Population, total",SP.POP.TOTL,38850435,38939049,39067745,39189400,39294967,39387017,39478186,39582413,39721108,39926268,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055
Estonia,EST,"Population, total",SP.POP.TOTL,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1380620,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696
Ethiopia,ETH,"Population, total",SP.POP.TOTL,48057094,49784987,51602776,53477944,55366517,57237226,59076414,60893264,62707547,64550161,66443603,68393128,70391170,72432290,74506974,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211
